Frequency (eV),Frequency (meV),vDOS Room Temperature,Frequency (eV),Frequency (meV),vDOS Cryo Temperature
0.018489,18.489,45.935,0.015717,15.717,24.07779
0.018733,18.733,42.006,0.015924,15.924,24.90059
0.018976,18.976,39.907,0.01613,16.13,26.87773
0.019219,19.219,41.405,0.016337,16.337,25.90973
0.019463,19.463,42.16,0.016544,16.544,22.76373
0.019706,19.706,42.784,0.016751,16.751,23.01783
0.019949,19.949,41.128,0.016958,16.958,21.32383
0.020192,20.192,41.077,0.017164,17.164,25.76574
0.020436,20.436,43.681,0.017371,17.371,26.19166
0.020679,20.679,42.958,0.017578,17.578,24.29317
0.020922,20.922,44.18,0.017785,17.785,24.0185
0.021165,21.165,45.602,0.017991,17.991,23.56233
0.021409,21.409,43.826,0.018198,18.198,26.38042
0.021652,21.652,42.992,0.018405,18.405,23.95074
0.021895,21.895,46.54,0.018612,18.612,25.61328
0.022139,22.139,46.693,0.018819,18.819,31.86777
0.022382,22.382,47.888,0.019025,19.025,31.18896
0.022625,22.625,47.952,0.019232,19.232,25.78873
0.022868,22.868,44.071,0.019439,19.439,25.36039
0.023112,23.112,47.237,0.019646,19.646,23.24047
0.023355,23.355,48.518,0.019853,19.853,23.96647
0.023598,23.598,44.46,0.020059,20.059,24.15886
0.023842,23.842,44.767,0.020266,20.266,27.19112
0.024085,24.085,46.252,0.020473,20.473,24.10562
0.024328,24.328,44.902,0.02068,20.68,23.73052
0.024571,24.571,44.422,0.020887,20.887,26.13842
0.024815,24.815,46.023,0.021093,21.093,24.58962
0.025058,25.058,47.936,0.0213,21.3,26.26547
0.025301,25.301,48.021,0.021507,21.507,23.5708
0.025545,25.545,47.901,0.021714,21.714,27.31212
0.025788,25.788,47.769,0.021921,21.921,28.21357
0.026031,26.031,49.94,0.022127,22.127,24.66101
0.026274,26.274,46.342,0.022334,22.334,26.25821
0.026518,26.518,45.766,0.022541,22.541,24.88002
0.026761,26.761,50.295,0.022748,22.748,24.70699
0.027004,27.004,48.186,0.022955,22.955,25.78994
0.027248,27.248,48.058,0.023161,23.161,30.16893
0.027491,27.491,45.977,0.023368,23.368,27.53718
0.027734,27.734,53.881,0.023575,23.575,25.13049
0.027977,27.977,56.127,0.023782,23.782,24.94536
0.028221,28.221,50.403,0.023989,23.989,25.97386
0.028464,28.464,55.489,0.024195,24.195,28.8343
0.028707,28.707,52.28,0.024402,24.402,27.64971
0.028951,28.951,47.647,0.024609,24.609,25.98354
0.029194,29.194,51.257,0.024816,24.816,28.20389
0.029437,29.437,52.109,0.025023,25.023,25.68467
0.02968,29.68,50.138,0.025229,25.229,24.46741
0.029924,29.924,46.963,0.025436,25.436,28.49913
0.030167,30.167,49.354,0.025643,25.643,30.09633
0.03041,30.41,51.341,0.02585,25.85,26.25821
0.030653,30.653,55.631,0.026057,26.057,30.46175
0.030897,30.897,52.867,0.026263,26.263,31.13814
0.03114,31.14,52.794,0.02647,26.47,28.96982
0.031383,31.383,57.482,0.026677,26.677,30.50289
0.031627,31.627,50.974,0.026884,26.884,30.14836
0.03187,31.87,48.851,0.027091,27.091,32.06863
0.032113,32.113,52.836,0.027297,27.297,30.96511
0.032356,32.356,47.928,0.027504,27.504,29.88216
0.0326,32.6,46.959,0.027711,27.711,30.65172
0.032843,32.843,52.544,0.027918,27.918,27.2613
0.033086,33.086,50.666,0.028125,28.125,25.27206
0.03333,33.33,49.015,0.028331,28.331,27.45853
0.033573,33.573,51.979,0.028538,28.538,29.02185
0.033816,33.816,55.643,0.028745,28.745,28.98434
0.034059,34.059,55.564,0.028952,28.952,30.78603
0.034303,34.303,57.497,0.029159,29.159,33.92477
0.034546,34.546,55.022,0.029365,29.365,37.49911
0.034789,34.789,56.224,0.029572,29.572,34.43055
0.035033,35.033,51.635,0.029779,29.779,31.10184
0.035276,35.276,51.915,0.029986,29.986,31.17323
0.035519,35.519,54.485,0.030193,30.193,31.66691
0.035762,35.762,54.232,0.030399,30.399,33.65736
0.036006,36.006,52.239,0.030606,30.606,38.22027
0.036249,36.249,55.734,0.030813,30.813,34.85042
0.036492,36.492,52.756,0.03102,31.02,31.69474
0.036736,36.736,49.91,0.031227,31.227,30.53677
0.036979,36.979,51.716,0.031433,31.433,28.15065
0.037222,37.222,52.858,0.03164,31.64,27.70174
0.037465,37.465,54.853,0.031847,31.847,32.6216
0.037709,37.709,53.549,0.032054,32.054,31.47573
0.037952,37.952,52.875,0.032261,32.261,30.28267
0.038195,38.195,51.879,0.032467,32.467,28.23535
0.038438,38.438,53.099,0.032674,32.674,28.27165
0.038682,38.682,56.147,0.032881,32.881,31.16234
0.038925,38.925,50.206,0.033088,33.088,34.40756
0.039168,39.168,50.234,0.033295,33.295,35.69137
0.039412,39.412,53.803,0.033501,33.501,35.23762
0.039655,39.655,49.607,0.033708,33.708,36.26491
0.039898,39.898,51.032,0.033915,33.915,37.79919
0.040141,40.141,56.69,0.034122,34.122,36.93525
0.040385,40.385,54.01,0.034329,34.329,33.396
0.040628,40.628,50.369,0.034535,34.535,31.92222
0.040871,40.871,48.943,0.034742,34.742,33.23144
0.041115,41.115,49.281,0.034949,34.949,32.7184
0.041358,41.358,49.976,0.035156,35.156,32.78737
0.041601,41.601,52.059,0.035363,35.363,30.0927
0.041844,41.844,52.618,0.035569,35.569,30.69407
0.042088,42.088,48.858,0.035776,35.776,32.39412
0.042331,42.331,47.413,0.035983,35.983,31.60883
0.042574,42.574,47.301,0.03619,36.19,32.55142
0.042818,42.818,52.804,0.036397,36.397,34.60358
0.043061,43.061,51.645,0.036603,36.603,36.06163
0.043304,43.304,47.608,0.03681,36.81,37.13853
0.043547,43.547,48.533,0.037017,37.017,39.02734
0.043791,43.791,46.906,0.037224,37.224,34.10748
0.044034,44.034,48.33,0.037431,37.431,34.07239
0.044277,44.277,49.645,0.037637,37.637,35.16502
0.044521,44.521,47.513,0.037844,37.844,34.22727
0.044764,44.764,43.494,0.038051,38.051,36.06526
0.045007,45.007,46.064,0.038258,38.258,33.47707
0.04525,45.25,49.338,0.038465,38.465,32.71114
0.045494,45.494,47.605,0.038671,38.671,35.68653
0.045737,45.737,48.22,0.038878,38.878,33.13464
0.04598,45.98,51.653,0.039085,39.085,27.0314
0.046224,46.224,47.359,0.039292,39.292,30.87194
0.046467,46.467,50.839,0.039499,39.499,36.29758
0.04671,46.71,51.636,0.039705,39.705,39.23062
0.046953,46.953,48.646,0.039912,39.912,39.08905
0.047197,47.197,50.041,0.040119,40.119,34.16677
0.04744,47.44,49.289,0.040326,40.326,33.93566
0.047683,47.683,52.385,0.040533,40.533,37.33334
0.047926,47.926,52.48,0.040739,40.739,35.34531
0.04817,48.17,49.672,0.040946,40.946,37.56929
0.048413,48.413,50.258,0.041153,41.153,39.59967
0.048656,48.656,51.474,0.04136,41.36,37.10707
0.0489,48.9,47.009,0.041567,41.567,45.03015
0.049143,49.143,45.145,0.041773,41.773,46.42165
0.049386,49.386,47.254,0.04198,41.98,37.56203
0.049629,49.629,49.21,0.042187,42.187,38.8531
0.049873,49.873,47.348,0.042394,42.394,40.08609
0.050116,50.116,45.462,0.042601,42.601,40.96576
0.050359,50.359,42.966,0.042807,42.807,46.18933
0.050603,50.603,44.361,0.043014,43.014,42.27619
0.050846,50.846,41.245,0.043221,43.221,41.94344
0.051089,51.089,41.372,0.043428,43.428,43.43295
0.051332,51.332,44.857,0.043635,43.635,43.71609
0.051576,51.576,43.149,0.043841,43.841,39.53312
0.051819,51.819,42.312,0.044048,44.048,39.73882
0.052062,52.062,43.683,0.044255,44.255,44.29326
0.052306,52.306,43.426,0.044462,44.462,39.5428
0.052549,52.549,42.629,0.044669,44.669,41.48485
0.052792,52.792,43.994,0.044875,44.875,44.04763
0.053035,53.035,40.478,0.045082,45.082,40.06431
0.053279,53.279,39.028,0.045289,45.289,39.99534
0.053522,53.522,39.627,0.045496,45.496,35.63692
0.053765,53.765,41.308,0.045703,45.703,34.26236
0.054009,54.009,39.016,0.045909,45.909,38.17913
0.054252,54.252,41.127,0.046116,46.116,38.15614
0.054495,54.495,45.479,0.046323,46.323,34.47895
0.054738,54.738,43.077,0.04653,46.53,34.41845
0.054982,54.982,43.384,0.046737,46.737,36.04953
0.055225,55.225,45.292,0.046943,46.943,38.77203
0.055468,55.468,42.264,0.04715,47.15,35.76881
0.055711,55.711,39.855,0.047357,47.357,36.12213
0.055955,55.955,43.493,0.047564,47.564,35.28602
0.056198,56.198,41.561,0.047771,47.771,41.4062
0.056441,56.441,39.504,0.047977,47.977,40.24339
0.056685,56.685,38.943,0.048184,48.184,37.31156
0.056928,56.928,42.387,0.048391,48.391,30.85621
0.057171,57.171,39.821,0.048598,48.598,37.81129
0.057414,57.414,39.498,0.048805,48.805,42.0475
0.057658,57.658,41.8,0.049011,49.011,37.49548
0.057901,57.901,39.899,0.049218,49.218,35.58005
0.058144,58.144,40.831,0.049425,49.425,39.96267
0.058388,58.388,39.748,0.049632,49.632,42.66823
0.058631,58.631,37.733,0.049839,49.839,42.3984
0.058874,58.874,40.786,0.050045,50.045,38.49857
0.059117,59.117,44.765,0.050252,50.252,38.27109
0.059361,59.361,42.755,0.050459,50.459,34.94359
0.059604,59.604,39.998,0.050666,50.666,33.59323
0.059847,59.847,39.95,0.050873,50.873,39.7727
0.060091,60.091,39.723,0.051079,51.079,47.54574
0.060334,60.334,40.941,0.051286,51.286,44.36949
0.060577,60.577,38.246,0.051493,51.493,40.16595
0.06082,60.82,35.497,0.0517,51.7,43.17885
0.061064,61.064,37.885,0.051906,51.906,41.81397
0.061307,61.307,38.072,0.052113,52.113,43.07721
0.06155,61.55,38.279,0.05232,52.32,39.00556
0.061794,61.794,42.556,0.052527,52.527,38.50099
0.062037,62.037,36.899,0.052734,52.734,43.67374
0.06228,62.28,36.982,0.05294,52.94,43.84556
0.062523,62.523,35.02,0.053147,53.147,36.25402
0.062767,62.767,33.155,0.053354,53.354,38.49615
0.06301,63.01,36.391,0.053561,53.561,40.68141
0.063253,63.253,36.794,0.053768,53.768,43.23693
0.063496,63.496,38.207,0.053974,53.974,44.16016
0.06374,63.74,36.438,0.054181,54.181,38.70306
0.063983,63.983,37.293,0.054388,54.388,41.43524
0.064226,64.226,36.213,0.054595,54.595,46.04292
0.06447,64.47,36.612,0.054802,54.802,43.46562
0.064713,64.713,39.396,0.055008,55.008,45.39557
0.064956,64.956,40.712,0.055215,55.215,47.03875
0.065199,65.199,37.986,0.055422,55.422,42.55086
0.065443,65.443,35.901,0.055629,55.629,44.14443
0.065686,65.686,37.526,0.055836,55.836,52.42688
0.065929,65.929,35.562,0.056042,56.042,49.90524
0.066173,66.173,36.524,0.056249,56.249,42.93806
0.066416,66.416,37.17,0.056456,56.456,42.15156
0.066659,66.659,34.487,0.056663,56.663,41.35901
0.066902,66.902,35.341,0.05687,56.87,43.71609
0.067146,67.146,34.222,0.057076,57.076,41.57076
0.067389,67.389,34.291,0.057283,57.283,38.83011
0.067632,67.632,32.747,0.05749,57.49,43.27928
0.067876,67.876,32.91,0.057697,57.697,42.59321
0.068119,68.119,33.125,0.057904,57.904,34.14257
0.068362,68.362,32.82,0.05811,58.11,33.45529
0.068605,68.605,33.688,0.058317,58.317,32.00813
0.068849,68.849,33.396,0.058524,58.524,33.58355
0.069092,69.092,32.683,0.058731,58.731,39.3129
0.069335,69.335,34.561,0.058938,58.938,38.56633
0.069579,69.579,35.638,0.059144,59.144,31.68506
0.069822,69.822,32.793,0.059351,59.351,38.94506
0.070065,70.065,33.622,0.059558,59.558,39.78359
0.070308,70.308,31.373,0.059765,59.765,34.83227
0.070552,70.552,30.618,0.059972,59.972,36.4815
0.070795,70.795,32.687,0.060178,60.178,35.62119
0.071038,71.038,32.322,0.060385,60.385,38.80833
0.071282,71.282,31.593,0.060592,60.592,47.49613
0.071525,71.525,31.068,0.060799,60.799,45.40525
0.071768,71.768,31.097,0.061006,61.006,34.86373
0.072011,72.011,31.453,0.061212,61.212,33.27016
0.072255,72.255,32.93,0.061419,61.419,38.59537
0.072498,72.498,31.521,0.061626,61.626,41.37111
0.072741,72.741,30.722,0.061833,61.833,39.00072
0.072984,72.984,31.973,0.06204,62.04,38.31828
0.073228,73.228,30.192,0.062246,62.246,38.14162
0.073471,73.471,33.098,0.062453,62.453,44.50743
0.073714,73.714,33.508,0.06266,62.66,45.14147
0.073958,73.958,31.724,0.062867,62.867,34.82501
0.074201,74.201,32.801,0.063074,63.074,36.00839
0.074444,74.444,30.124,0.06328,63.28,41.47759
0.074687,74.687,30.281,0.063487,63.487,39.08542
0.074931,74.931,31.103,0.063694,63.694,35.84383
0.075174,75.174,30.382,0.063901,63.901,35.30901
0.075417,75.417,32.322,0.064108,64.108,42.52787
0.075661,75.661,30.604,0.064314,64.314,38.03151
0.075904,75.904,28.442,0.064521,64.521,37.31519
0.076147,76.147,29.479,0.064728,64.728,37.82218
0.07639,76.39,29.581,0.064935,64.935,33.24475
0.076634,76.634,29.891,0.065142,65.142,29.19972
0.076877,76.877,28.538,0.065348,65.348,31.17928
0.07712,77.12,28.468,0.065555,65.555,36.63517
0.077364,77.364,28.66,0.065762,65.762,39.88523
0.077607,77.607,29.282,0.065969,65.969,41.16057
0.07785,77.85,29.438,0.066176,66.176,38.64135
0.078093,78.093,28.424,0.066382,66.382,37.1228
0.078337,78.337,30.803,0.066589,66.589,31.18412
0.07858,78.58,27.979,0.066796,66.796,37.82702
0.078823,78.823,27.773,0.067003,67.003,37.1833
0.079067,79.067,28.714,0.06721,67.21,33.59444
0.07931,79.31,29.081,0.067416,67.416,34.04698
0.079553,79.553,30.467,0.067623,67.623,36.07615
0.079796,79.796,28.987,0.06783,67.83,36.59766
0.08004,80.04,27.749,0.068037,68.037,34.63141
0.080283,80.283,27.761,0.068244,68.244,33.64526
0.080526,80.526,28.192,0.06845,68.45,30.35164
0.080769,80.769,28.307,0.068657,68.657,28.92384
0.081013,81.013,29.622,0.068864,68.864,34.65924
0.081256,81.256,28.285,0.069071,69.071,36.43431
0.081499,81.499,26.843,0.069278,69.278,32.67605
0.081743,81.743,28.219,0.069484,69.484,33.42141
0.081986,81.986,28.061,0.069691,69.691,30.75578
0.082229,82.229,26.466,0.069898,69.898,28.14823
0.082472,82.472,28.094,0.070105,70.105,29.91241
0.082716,82.716,29.128,0.070312,70.312,30.07334
0.082959,82.959,26.721,0.070518,70.518,26.94307
0.083202,83.202,25.192,0.070725,70.725,25.16316
0.083446,83.446,25.523,0.070932,70.932,29.33282
0.083689,83.689,25.711,0.071139,71.139,30.68923
0.083932,83.932,28.18,0.071346,71.346,27.84815
0.084175,84.175,28.031,0.071552,71.552,29.65347
0.084419,84.419,26.836,0.071759,71.759,27.91712
0.084662,84.662,26.995,0.071966,71.966,25.81777
0.084905,84.905,25.664,0.072173,72.173,28.10588
0.085149,85.149,26.891,0.07238,72.38,28.02481
0.085392,85.392,26.261,0.072586,72.586,28.02602
0.085635,85.635,25.279,0.072793,72.793,30.38552
0.085878,85.878,27.128,0.073,73,26.15294
0.086122,86.122,28.07,0.073207,73.207,28.9916
0.086365,86.365,27.501,0.073414,73.414,30.01647
0.086608,86.608,24.2357,0.07362,73.62,25.18615
0.086852,86.852,24.2082,0.073827,73.827,28.55479
0.087095,87.095,25.315,0.074034,74.034,31.40071
0.087338,87.338,26.484,0.074241,74.241,30.58638
0.087581,87.581,26.24,0.074448,74.448,27.12215
0.087825,87.825,25.038,0.074654,74.654,29.1005
0.088068,88.068,24.6183,0.074861,74.861,32.27796
0.088311,88.311,25.096,0.075068,75.068,29.02064
0.088554,88.554,24.5504,0.075275,75.275,28.50639
0.088798,88.798,25.053,0.075482,75.482,28.68063
0.089041,89.041,26.901,0.075688,75.688,27.82032
0.089284,89.284,27.717,0.075895,75.895,25.78631
0.089528,89.528,27.254,0.076102,76.102,30.28025
0.089771,89.771,24.9106,0.076309,76.309,28.00303
0.090014,90.014,25.327,0.076516,76.516,26.17714
0.090257,90.257,26.716,0.076722,76.722,26.67808
0.090501,90.501,25.128,0.076929,76.929,28.48824
0.090744,90.744,25.007,0.077136,77.136,29.17673
0.090987,90.987,24.1193,0.077343,77.343,21.59487
0.091231,91.231,24.2818,0.07755,77.55,20.69221
0.091474,91.474,25.973,0.077756,77.756,27.01325
0.091717,91.717,25.957,0.077963,77.963,29.30136
0.09196,91.96,25.965,0.07817,78.17,28.70241
0.092204,92.204,25.283,0.078377,78.377,28.16517
0.092447,92.447,24.3877,0.078584,78.584,27.96794
0.09269,92.69,23.4341,0.07879,78.79,25.71976
0.092934,92.934,22.535,0.078997,78.997,23.22474
0.093177,93.177,23.4966,0.079204,79.204,23.64582
0.09342,93.42,23.8423,0.079411,79.411,22.71896
0.093663,93.663,23.0494,0.079618,79.618,23.23321
0.093907,93.907,23.7153,0.079824,79.824,21.27301
0.09415,94.15,22.9392,0.080031,80.031,20.92816
0.094393,94.393,23.2288,0.080238,80.238,21.25728
0.094637,94.637,23.4034,0.080445,80.445,19.55239
0.09488,94.88,23.0668,0.080652,80.652,18.61464
0.095123,95.123,23.1726,0.080858,80.858,21.8768
0.095366,95.366,22.916,0.081065,81.065,24.04754
0.09561,95.61,23.2777,0.081272,81.272,23.27435
0.095853,95.853,23.7332,0.081479,81.479,19.85368
0.096096,96.096,23.4622,0.081686,81.686,23.15093
0.09634,96.34,22.0922,0.081892,81.892,24.6719
0.096583,96.583,21.8186,0.082099,82.099,19.39146
0.096826,96.826,22.5299,0.082306,82.306,20.42359
0.097069,97.069,22.2336,0.082513,82.513,22.40557
0.097313,97.313,21.9253,0.08272,82.72,24.80016
0.097556,97.556,22.846,0.082926,82.926,23.20296
0.097799,97.799,21.9923,0.083133,83.133,22.98274
0.098042,98.042,21.8454,0.08334,83.34,25.35555
0.098286,98.286,22.9726,0.083547,83.547,22.27973
0.098529,98.529,22.0839,0.083754,83.754,22.90167
0.098772,98.772,21.8582,0.08396,83.96,25.43904
0.099016,99.016,21.4531,0.084167,84.167,21.24518
0.099259,99.259,21.2694,0.084374,84.374,20.30501
0.099502,99.502,22.2422,0.084581,84.581,21.65779
0.099745,99.745,21.3232,0.084788,84.788,22.11275
0.099989,99.989,21.7483,0.084994,84.994,19.35637
0.10023,100.23,22.9585,0.085201,85.201,16.95089
0.10048,100.48,22.4446,0.085408,85.408,19.65766
0.10072,100.72,22.7441,0.085615,85.615,20.0497
0.10096,100.96,22.0927,0.085821,85.821,19.11558
0.10121,101.21,21.8179,0.086028,86.028,22.38621
0.10145,101.45,21.3542,0.086235,86.235,21.67594
0.10169,101.69,21.1441,0.086442,86.442,19.02967
0.10193,101.93,21.6372,0.086649,86.649,22.20108
0.10218,102.18,20.8798,0.086855,86.855,23.04929
0.10242,102.42,21.4165,0.087062,87.062,22.46486
0.10266,102.66,20.8913,0.087269,87.269,22.76857
0.10291,102.91,20.7051,0.087476,87.476,21.29721
0.10315,103.15,21.3707,0.087683,87.683,22.50237
0.10339,103.39,21.5439,0.087889,87.889,22.74921
0.10364,103.64,20.9249,0.088096,88.096,23.41229
0.10388,103.88,20.1861,0.088303,88.303,21.0177
0.10412,104.12,20.5583,0.08851,88.51,17.62123
0.10437,104.37,21.1348,0.088717,88.717,19.66855
0.10461,104.61,21.8617,0.088923,88.923,22.81334
0.10485,104.85,21.5914,0.08913,89.13,21.27422
0.1051,105.1,21.6978,0.089337,89.337,20.09689
0.10534,105.34,21.4968,0.089544,89.544,18.68119
0.10558,105.58,21.2708,0.089751,89.751,16.98235
0.10583,105.83,20.46,0.089957,89.957,17.56073
0.10607,106.07,20.3437,0.090164,90.164,17.4845
0.10631,106.31,20.6898,0.090371,90.371,18.11733
0.10656,106.56,19.9506,0.090578,90.578,17.9806
0.1068,106.8,20.5529,0.090785,90.785,17.32962
0.10704,107.04,21.4271,0.090991,90.991,19.52698
0.10729,107.29,20.7536,0.091198,91.198,18.18146
0.10753,107.53,20.8822,0.091405,91.405,17.02954
0.10777,107.77,20.8987,0.091612,91.612,17.01502
0.10802,108.02,21.2515,0.091819,91.819,15.90908
0.10826,108.26,21.0216,0.092025,92.025,18.01448
0.1085,108.5,20.4926,0.092232,92.232,16.81174
0.10875,108.75,20.401,0.092439,92.439,15.63683
0.10899,108.99,20.2573,0.092646,92.646,15.89819
0.10923,109.23,19.8822,0.092853,92.853,16.62177
0.10948,109.48,19.4552,0.093059,93.059,15.47711
0.10972,109.72,19.4565,0.093266,93.266,15.01368
0.10996,109.96,19.604,0.093473,93.473,16.53223
0.11021,110.21,20.0915,0.09368,93.68,16.24062
0.11045,110.45,19.9541,0.093887,93.887,15.49768
0.11069,110.69,19.9256,0.094093,94.093,13.38018
0.11094,110.94,20.3342,0.0943,94.3,16.60241
0.11118,111.18,20.3339,0.094507,94.507,19.76656
0.11142,111.42,20.2654,0.094714,94.714,19.25715
0.11167,111.67,19.9436,0.094921,94.921,19.84158
0.11191,111.91,20.2062,0.095127,95.127,18.95586
0.11215,112.15,19.5224,0.095334,95.334,18.13306
0.1124,112.4,19.3118,0.095541,95.541,17.76522
0.11264,112.64,19.2544,0.095748,95.748,16.04097
0.11288,112.88,18.7323,0.095955,95.955,15.74936
0.11313,113.13,19.1466,0.096161,96.161,14.63253
0.11337,113.37,19.1555,0.096368,96.368,13.88354
0.11361,113.61,19.2721,0.096575,96.575,16.95331
0.11386,113.86,19.0115,0.096782,96.782,16.09784
0.1141,114.1,18.6556,0.096989,96.989,14.12312
0.11434,114.34,19.0107,0.097195,97.195,14.92051
0.11459,114.59,18.9497,0.097402,97.402,13.02081
0.11483,114.83,18.9637,0.097609,97.609,14.94229
0.11507,115.07,19.3046,0.097816,97.816,16.91459
0.11532,115.32,19.4955,0.098023,98.023,15.26173
0.11556,115.56,19.8326,0.098229,98.229,16.62298
0.1158,115.8,19.0683,0.098436,98.436,14.62527
0.11605,116.05,18.8847,0.098643,98.643,14.51274
0.11629,116.29,19.6452,0.09885,98.85,14.50064
0.11653,116.53,19.3374,0.099057,99.057,13.18295
0.11678,116.78,18.8961,0.099263,99.263,13.26281
0.11702,117.02,18.838,0.09947,99.47,14.10618
0.11726,117.26,19.1015,0.099677,99.677,15.88972
0.11751,117.51,19.3362,0.099884,99.884,15.68765
0.11775,117.75,19.258,0.10009,100.09,14.48854
0.11799,117.99,19.0815,0.1003,100.3,16.3955
0.11823,118.23,18.8778,0.1005,100.5,17.48934
0.11848,118.48,19.0685,0.10071,100.71,15.02215
0.11872,118.72,19.2584,0.10092,100.92,13.98034
0.11896,118.96,18.8506,0.10112,101.12,15.08749
0.11921,119.21,18.6095,0.10133,101.33,14.76684
0.11945,119.45,18.3605,0.10154,101.54,12.91312
0.11969,119.69,18.3613,0.10175,101.75,14.73417
0.11994,119.94,18.5305,0.10195,101.95,15.43839
0.12018,120.18,18.5416,0.10216,102.16,15.03183
0.12042,120.42,18.5595,0.10237,102.37,17.15296
0.12067,120.67,18.3765,0.10257,102.57,15.33917
0.12091,120.91,18.3632,0.10278,102.78,12.6445
0.12115,121.15,18.634,0.10299,102.99,13.16359
0.1214,121.4,18.1934,0.10319,103.19,13.95251
0.12164,121.64,18.0693,0.1034,103.4,13.95614
0.12188,121.88,18.1585,0.10361,103.61,13.53385
0.12213,122.13,18.2102,0.10381,103.81,12.63361
0.12237,122.37,18.3043,0.10402,104.02,12.80422
