Frequency (eV),Frequency (meV),vDOS Room Temperature,Frequency,Frequency (meV),vDOS Cryo Temperature
0.039705,39.705,71.2872,0.039705,39.705,43.975
0.039912,39.912,80.7804,0.039912,39.912,37.501
0.040119,40.119,78.8844,0.040119,40.119,33.209
0.040326,40.326,64.5264,0.040326,40.326,36.137
0.040533,40.533,57.7212,0.040533,40.533,38.63
0.040739,40.739,68.5848,0.040739,40.739,40.4
0.040946,40.946,78.1896,0.040946,40.946,34.452
0.041153,41.153,75.0324,0.041153,41.153,40.948
0.04136,41.36,66.1236,0.04136,41.36,37.913
0.041567,41.567,63.354,0.041567,41.567,33.227
0.041773,41.773,64.38,0.041773,41.773,39.646
0.04198,41.98,71.4012,0.04198,41.98,40.943
0.042187,42.187,74.628,0.042187,42.187,47.644
0.042394,42.394,73.71,0.042394,42.394,37.887
0.042601,42.601,58.5252,0.042601,42.601,37.368
0.042807,42.807,63.5832,0.042807,42.807,44.462
0.043014,43.014,73.1508,0.043014,43.014,41.759
0.043221,43.221,64.3236,0.043221,43.221,37.747
0.043428,43.428,65.1804,0.043428,43.428,37.999
0.043635,43.635,62.4192,0.043635,43.635,38.634
0.043841,43.841,59.1732,0.043841,43.841,42.323
0.044048,44.048,62.5704,0.044048,44.048,39.901
0.044255,44.255,75.5544,0.044255,44.255,40.057
0.044462,44.462,71.7672,0.044462,44.462,41.239
0.044669,44.669,74.7936,0.044669,44.669,42.284
0.044875,44.875,74.8464,0.044875,44.875,36.343
0.045082,45.082,65.1468,0.045082,45.082,31.92
0.045289,45.289,67.104,0.045289,45.289,37.739
0.045496,45.496,64.6968,0.045496,45.496,33.5
0.045703,45.703,62.0376,0.045703,45.703,29.471
0.045909,45.909,62.0784,0.045909,45.909,37.496
0.046116,46.116,61.4916,0.046116,46.116,35.115
0.046323,46.323,68.34,0.046323,46.323,30.451
0.04653,46.53,74.3796,0.04653,46.53,28.917
0.046737,46.737,70.4292,0.046737,46.737,29.562
0.046943,46.943,63.582,0.046943,46.943,36.651
0.04715,47.15,58.9704,0.04715,47.15,30.953
0.047357,47.357,58.2708,0.047357,47.357,30.843
0.047564,47.564,58.6476,0.047564,47.564,36.914
0.047771,47.771,50.8248,0.047771,47.771,34.18
0.047977,47.977,48.8664,0.047977,47.977,31.668
0.048184,48.184,52.8012,0.048184,48.184,30.782
0.048391,48.391,50.6628,0.048391,48.391,28.852
0.048598,48.598,52.548,0.048598,48.598,26.34
0.048805,48.805,54.9096,0.048805,48.805,30.739
0.049011,49.011,51.72,0.049011,49.011,34.769
0.049218,49.218,51.2748,0.049218,49.218,31.114
0.049425,49.425,54.7716,0.049425,49.425,31.722
0.049632,49.632,48.7656,0.049632,49.632,32.517
0.049839,49.839,54.2484,0.049839,49.839,26.133
0.050045,50.045,51.7824,0.050045,50.045,27.836
0.050252,50.252,50.7108,0.050252,50.252,24.672
0.050459,50.459,57.4788,0.050459,50.459,22.302
0.050666,50.666,49.548,0.050666,50.666,30.364
0.050873,50.873,59.3508,0.050873,50.873,30.096
0.051079,51.079,67.5756,0.051079,51.079,28.222
0.051286,51.286,64.7532,0.051286,51.286,31.017
0.051493,51.493,54.9396,0.051493,51.493,30.991
0.0517,51.7,52.2048,0.0517,51.7,31.375
0.051906,51.906,48.252,0.051906,51.906,29.615
0.052113,52.113,41.9232,0.052113,52.113,27.427
0.05232,52.32,49.7304,0.05232,52.32,29.408
0.052527,52.527,53.0124,0.052527,52.527,30.106
0.052734,52.734,51.6828,0.052734,52.734,32.951
0.05294,52.94,50.3808,0.05294,52.94,28.469
0.053147,53.147,56.9952,0.053147,53.147,24.51
0.053354,53.354,55.914,0.053354,53.354,30.529
0.053561,53.561,51.948,0.053561,53.561,32.046
0.053768,53.768,49.3956,0.053768,53.768,26.581
0.053974,53.974,44.3028,0.053974,53.974,32.602
0.054181,54.181,48.7992,0.054181,54.181,26.644
0.054388,54.388,49.8432,0.054388,54.388,26.806
0.054595,54.595,51.5148,0.054595,54.595,31.375
0.054802,54.802,53.4324,0.054802,54.802,24.203
0.055008,55.008,46.194,0.055008,55.008,24.271
0.055215,55.215,45.06,0.055215,55.215,24.864
0.055422,55.422,56.4276,0.055422,55.422,27.304
0.055629,55.629,51.9912,0.055629,55.629,24.574
0.055836,55.836,44.868,0.055836,55.836,20.415
0.056042,56.042,53.7816,0.056042,56.042,22.085
0.056249,56.249,52.302,0.056249,56.249,16.634
0.056456,56.456,53.4684,0.056456,56.456,21.353
0.056663,56.663,50.8452,0.056663,56.663,25.759
0.05687,56.87,47.0244,0.05687,56.87,24.293
0.057076,57.076,52.4964,0.057076,57.076,23.254
0.057283,57.283,58.5588,0.057283,57.283,23.289
0.05749,57.49,53.3736,0.05749,57.49,21.612
0.057697,57.697,50.01,0.057697,57.697,25.025
0.057904,57.904,54.4032,0.057904,57.904,24.867
0.05811,58.11,53.0112,0.05811,58.11,22.873
0.058317,58.317,47.0172,0.058317,58.317,25.352
0.058524,58.524,51.198,0.058524,58.524,23.086
0.058731,58.731,56.3268,0.058731,58.731,20.971
0.058938,58.938,50.1972,0.058938,58.938,23.977
0.059144,59.144,48.084,0.059144,59.144,27.629
0.059351,59.351,47.8404,0.059351,59.351,22.044
0.059558,59.558,47.7588,0.059558,59.558,21.749
0.059765,59.765,45.3516,0.059765,59.765,25.839
0.059972,59.972,45.0828,0.059972,59.972,26.919
0.060178,60.178,48.9324,0.060178,60.178,22.108
0.060385,60.385,46.0476,0.060385,60.385,23.993
0.060592,60.592,48.1032,0.060592,60.592,23.43
0.060799,60.799,51.7236,0.060799,60.799,18.686
0.061006,61.006,43.8228,0.061006,61.006,20.451
0.061212,61.212,41.9436,0.061212,61.212,20.441
0.061419,61.419,43.1604,0.061419,61.419,23.083
0.061626,61.626,43.0236,0.061626,61.626,22.044
0.061833,61.833,42.1608,0.061833,61.833,18.812
0.06204,62.04,43.4736,0.06204,62.04,20.082
0.062246,62.246,40.0608,0.062246,62.246,21.574
0.062453,62.453,39.7548,0.062453,62.453,22.666
0.06266,62.66,37.7748,0.06266,62.66,21.992
0.062867,62.867,37.0104,0.062867,62.867,19.912
0.063074,63.074,43.374,0.063074,63.074,20.331
0.06328,63.28,37.554,0.06328,63.28,19.161
0.063487,63.487,38.2704,0.063487,63.487,21.138
0.063694,63.694,43.7148,0.063694,63.694,24.034
0.063901,63.901,39.6312,0.063901,63.901,22.17
0.064108,64.108,41.004,0.064108,64.108,19.955
0.064314,64.314,43.9488,0.064314,64.314,21.624
0.064521,64.521,37.1772,0.064521,64.521,23.277
0.064728,64.728,34.7796,0.064728,64.728,20.834
0.064935,64.935,41.5164,0.064935,64.935,18.95
0.065142,65.142,38.3256,0.065142,65.142,17.332
0.065348,65.348,38.3652,0.065348,65.348,17.614
0.065555,65.555,39.6132,0.065555,65.555,16.328
0.065762,65.762,38.754,0.065762,65.762,19.489
0.065969,65.969,38.0784,0.065969,65.969,24.127
0.066176,66.176,35.7384,0.066176,66.176,24.289
0.066382,66.382,38.3772,0.066382,66.382,18.067
0.066589,66.589,38.9616,0.066589,66.589,16.997
0.066796,66.796,34.23,0.066796,66.796,21.003
0.067003,67.003,37.1712,0.067003,67.003,17.324
0.06721,67.21,37.2744,0.06721,67.21,16.231
0.067416,67.416,37.5096,0.067416,67.416,16.342
0.067623,67.623,40.7928,0.067623,67.623,16.447
0.06783,67.83,32.8668,0.06783,67.83,18.938
0.068037,68.037,32.5248,0.068037,68.037,19.748
0.068244,68.244,35.298,0.068244,68.244,16.962
0.06845,68.45,36.0984,0.06845,68.45,16.427
0.068657,68.657,36.9648,0.068657,68.657,16.12
0.068864,68.864,35.5668,0.068864,68.864,14.872
0.069071,69.071,35.724,0.069071,69.071,15.033
0.069278,69.278,34.662,0.069278,69.278,15.791
0.069484,69.484,34.4568,0.069484,69.484,13.799
0.069691,69.691,34.4424,0.069691,69.691,15.857
0.069898,69.898,34.9752,0.069898,69.898,18.599
0.070105,70.105,33.8484,0.070105,70.105,16.44
0.070312,70.312,34.5816,0.070312,70.312,15.872
0.070518,70.518,37.4796,0.070518,70.518,17.37
0.070725,70.725,34.4052,0.070725,70.725,17.54
0.070932,70.932,31.7832,0.070932,70.932,18.579
0.071139,71.139,31.65,0.071139,71.139,18.236
0.071346,71.346,32.3184,0.071346,71.346,16.402
0.071552,71.552,31.6788,0.071552,71.552,15.586
0.071759,71.759,32.2752,0.071759,71.759,15.026
0.071966,71.966,32.9076,0.071966,71.966,14.445
0.072173,72.173,31.386,0.072173,72.173,17.673
0.07238,72.38,33.2184,0.07238,72.38,17.948
0.072586,72.586,33.4428,0.072586,72.586,17.554
0.072793,72.793,31.1832,0.072793,72.793,17.355
0.073,73,31.284,0.073,73,17.292
0.073207,73.207,31.794,0.073207,73.207,16.286
0.073414,73.414,31.6608,0.073414,73.414,15.242
0.07362,73.62,30.5796,0.07362,73.62,13.96
0.073827,73.827,31.3512,0.073827,73.827,13.059
0.074034,74.034,30.8964,0.074034,74.034,14.033
0.074241,74.241,30.6588,0.074241,74.241,13.548
0.074448,74.448,31.338,0.074448,74.448,16.331
0.074654,74.654,31.9368,0.074654,74.654,18.208
0.074861,74.861,31.5792,0.074861,74.861,15.3
0.075068,75.068,28.63752,0.075068,75.068,15.947
0.075275,75.275,31.0716,0.075275,75.275,19.402
0.075482,75.482,32.13,0.075482,75.482,15.637
0.075688,75.688,29.60208,0.075688,75.688,15.052
0.075895,75.895,29.60232,0.075895,75.895,16.268
0.076102,76.102,29.0238,0.076102,76.102,14.899
0.076309,76.309,28.76544,0.076309,76.309,14.546
0.076516,76.516,30.636,0.076516,76.516,14.255
0.076722,76.722,29.7828,0.076722,76.722,14.554
0.076929,76.929,29.42616,0.076929,76.929,14.585
0.077136,77.136,30.6864,0.077136,77.136,13.021
0.077343,77.343,29.81856,0.077343,77.343,12.221
0.07755,77.55,28.49496,0.07755,77.55,11.689
0.077756,77.756,28.82388,0.077756,77.756,13.347
0.077963,77.963,28.76388,0.077963,77.963,17.285
0.07817,78.17,28.17552,0.07817,78.17,16.512
0.078377,78.377,29.06256,0.078377,78.377,13.593
0.078584,78.584,26.6598,0.078584,78.584,14.369
0.07879,78.79,26.74416,0.07879,78.79,14.001
0.078997,78.997,29.77092,0.078997,78.997,13.889
0.079204,79.204,30.024,0.079204,79.204,15.175
0.079411,79.411,28.45344,0.079411,79.411,16.127
0.079618,79.618,27.62748,0.079618,79.618,16.36
0.079824,79.824,27.85332,0.079824,79.824,15.299
0.080031,80.031,26.7744,0.080031,80.031,14.367
0.080238,80.238,27.20376,0.080238,80.238,14.706
0.080445,80.445,28.41876,0.080445,80.445,16.039
0.080652,80.652,27.3444,0.080652,80.652,13.636
0.080858,80.858,27.27648,0.080858,80.858,13.643
0.081065,81.065,26.90568,0.081065,81.065,14.33
0.081272,81.272,26.3106,0.081272,81.272,16.748
0.081479,81.479,28.47516,0.081479,81.479,16.871
0.081686,81.686,27.29064,0.081686,81.686,14.838
0.081892,81.892,26.43348,0.081892,81.892,14.474
0.082099,82.099,27.87588,0.082099,82.099,15.027
0.082306,82.306,28.36404,0.082306,82.306,15.253
0.082513,82.513,28.57656,0.082513,82.513,12.042
0.08272,82.72,26.78784,0.08272,82.72,13.832
0.082926,82.926,25.12416,0.082926,82.926,14.797
0.083133,83.133,24.87696,0.083133,83.133,14.511
0.08334,83.34,27.53544,0.08334,83.34,14.948
0.083547,83.547,26.56164,0.083547,83.547,12.878
0.083754,83.754,26.41116,0.083754,83.754,13.307
0.08396,83.96,26.79876,0.08396,83.96,13.588
0.084167,84.167,25.86732,0.084167,84.167,12.619
0.084374,84.374,25.78884,0.084374,84.374,12.449
0.084581,84.581,24.15564,0.084581,84.581,12.908
0.084788,84.788,26.2332,0.084788,84.788,13.206
0.084994,84.994,25.74252,0.084994,84.994,13.379
0.085201,85.201,24.41664,0.085201,85.201,10.253
0.085408,85.408,25.51404,0.085408,85.408,9.2871
0.085615,85.615,25.2672,0.085615,85.615,10.588
0.085821,85.821,25.62504,0.085821,85.821,9.3885
0.086028,86.028,26.6472,0.086028,86.028,12.011
0.086235,86.235,25.07328,0.086235,86.235,11.073
0.086442,86.442,25.58664,0.086442,86.442,10.426
0.086649,86.649,24.66948,0.086649,86.649,10.404
0.086855,86.855,25.17624,0.086855,86.855,9.4874
0.087062,87.062,24.65172,0.087062,87.062,9.7587
0.087269,87.269,24.25824,0.087269,87.269,8.2946
0.087476,87.476,25.49592,0.087476,87.476,9.5172
0.087683,87.683,24.04764,0.087683,87.683,9.5383
0.087889,87.889,23.58252,0.087889,87.889,9.0055
0.088096,88.096,24.52176,0.088096,88.096,9.11
0.088303,88.303,24.2106,0.088303,88.303,8.2006
0.08851,88.51,24.27852,0.08851,88.51,8.2503
0.088717,88.717,24.45444,0.088717,88.717,8.9119
0.088923,88.923,23.90928,0.088923,88.923,7.6521
0.08913,89.13,24.19056,0.08913,89.13,9.4089
0.089337,89.337,23.8776,0.089337,89.337,10.321
0.089544,89.544,23.9202,0.089544,89.544,7.9395
0.089751,89.751,23.75856,0.089751,89.751,7.8793
0.089957,89.957,24.69972,0.089957,89.957,7.766
0.090164,90.164,23.88348,0.090164,90.164,9.1215
0.090371,90.371,22.27356,0.090371,90.371,9.6214
0.090578,90.578,23.75964,0.090578,90.578,9.7174
0.090785,90.785,25.28688,0.090785,90.785,9.608
0.090991,90.991,24.98928,0.090991,90.991,9.8447
0.091198,91.198,23.98404,0.091198,91.198,11.364
0.091405,91.405,24.03432,0.091405,91.405,9.3926
0.091612,91.612,24.53256,0.091612,91.612,9.4979
0.091819,91.819,22.95516,0.091819,91.819,10.257
0.092025,92.025,22.50324,0.092025,92.025,10.797
0.092232,92.232,22.98156,0.092232,92.232,10.002
0.092439,92.439,23.24532,0.092439,92.439,10.566
0.092646,92.646,22.97748,0.092646,92.646,10.509
0.092853,92.853,23.77452,0.092853,92.853,8.1589
0.093059,93.059,24.25788,0.093059,93.059,9.455
0.093266,93.266,23.13612,0.093266,93.266,10.175
0.093473,93.473,21.87348,0.093473,93.473,9.4467
0.09368,93.68,22.07136,0.09368,93.68,9.5697
0.093887,93.887,23.92236,0.093887,93.887,10.116
0.094093,94.093,23.35116,0.094093,94.093,11.438
0.0943,94.3,22.81884,0.0943,94.3,10.364
0.094507,94.507,22.80168,0.094507,94.507,9.451
0.094714,94.714,22.7292,0.094714,94.714,9.6548
0.094921,94.921,22.96968,0.094921,94.921,10.455
0.095127,95.127,23.13924,0.095127,95.127,9.6802
0.095334,95.334,23.05752,0.095334,95.334,11.741
0.095541,95.541,22.34832,0.095541,95.541,10.775
0.095748,95.748,22.48116,0.095748,95.748,7.4728
0.095955,95.955,22.69308,0.095955,95.955,7.628
0.096161,96.161,23.27868,0.096161,96.161,7.5331
0.096368,96.368,23.08368,0.096368,96.368,7.7562
0.096575,96.575,23.40576,0.096575,96.575,8.5562
0.096782,96.782,24.14664,0.096782,96.782,9.5416
0.096989,96.989,22.93932,0.096989,96.989,10.333
0.097195,97.195,22.32972,0.097195,97.195,9.4636
0.097402,97.402,21.76932,0.097402,97.402,7.6681
0.097609,97.609,21.5232,0.097609,97.609,8.1658
0.097816,97.816,21.95952,0.097816,97.816,7.1567
0.098023,98.023,22.4376,0.098023,98.023,9.193
0.098229,98.229,22.28232,0.098229,98.229,10.23
0.098436,98.436,21.63264,0.098436,98.436,8.7492
0.098643,98.643,21.6042,0.098643,98.643,7.3313
0.09885,98.85,22.54848,0.09885,98.85,7.3206
0.099057,99.057,22.1778,0.099057,99.057,7.6873
0.099263,99.263,21.99444,0.099263,99.263,7.6273
0.09947,99.47,22.72992,0.09947,99.47,8.0027
0.099677,99.677,22.9662,0.099677,99.677,6.685
0.099884,99.884,22.58232,0.099884,99.884,7.2317
0.10009,100.09,23.05452,0.10009,100.09,6.1693
0.1003,100.3,22.98852,0.1003,100.3,6.0114
0.1005,100.5,22.03608,0.1005,100.5,6.923
0.10071,100.71,21.66636,0.10071,100.71,5.141
0.10092,100.92,22.01868,0.10092,100.92,5.0149
0.10112,101.12,21.56472,0.10112,101.12,6.0201
0.10133,101.33,21.82284,0.10133,101.33,6.5957
0.10154,101.54,22.79292,0.10154,101.54,6.9323
0.10175,101.75,21.52884,0.10175,101.75,7.4975
0.10195,101.95,21.89772,0.10195,101.95,6.2859
0.10216,102.16,22.07832,0.10216,102.16,5.8865
0.10237,102.37,22.57884,0.10237,102.37,5.4839
0.10257,102.57,23.04096,0.10257,102.57,6.0851
0.10278,102.78,22.53996,0.10278,102.78,7.0149
0.10299,102.99,21.65652,0.10299,102.99,7.0357
0.10319,103.19,21.26316,0.10319,103.19,7.5472
0.1034,103.4,21.28908,0.1034,103.4,6.5746
0.10361,103.61,21.84588,0.10361,103.61,4.5245
0.10381,103.81,21.38184,0.10381,103.81,5.3857
0.10402,104.02,20.6088,0.10402,104.02,6.3839
0.10423,104.23,22.01484,0.10423,104.23,5.492
0.10443,104.43,22.14636,0.10443,104.43,6.2874
0.10464,104.64,21.6246,0.10464,104.64,6.5902
0.10485,104.85,21.66768,0.10485,104.85,5.8729
0.10505,105.05,21.78396,0.10505,105.05,4.899
