Frequency (eV),Frequency (meV),vDOS 300K
0.016735,16.735,40.2828
0.016953,16.953,38.4624
0.01717,17.17,38.6796
0.017387,17.387,36.7764
0.017605,17.605,39.8256
0.017822,17.822,40.5624
0.018039,18.039,43.6896
0.018257,18.257,42.0828
0.018474,18.474,48.7284
0.018691,18.691,46.8516
0.018909,18.909,44.13
0.019126,19.126,45.4776
0.019343,19.343,45.174
0.019561,19.561,44.8212
0.019778,19.778,44.6772
0.019995,19.995,50.97
0.020213,20.213,56.9268
0.02043,20.43,47.0748
0.020647,20.647,50.526
0.020865,20.865,49.2828
0.021082,21.082,42.138
0.021299,21.299,42.3084
0.021517,21.517,46.8984
0.021734,21.734,56.412
0.021951,21.951,54.2208
0.022169,22.169,48.0756
0.022386,22.386,52.8696
0.022603,22.603,47.3964
0.022821,22.821,38.3688
0.023038,23.038,40.1496
0.023255,23.255,47.8056
0.023473,23.473,57.1272
0.02369,23.69,65.3952
0.023907,23.907,62.2632
0.024125,24.125,45.6276
0.024342,24.342,46.6272
0.024559,24.559,53.028
0.024777,24.777,51.5424
0.024994,24.994,47.1924
0.025212,25.212,52.848
0.025429,25.429,52.8936
0.025646,25.646,48.4044
0.025864,25.864,49.2792
0.026081,26.081,55.4748
0.026298,26.298,47.7336
0.026516,26.516,44.6364
0.026733,26.733,56.7324
0.02695,26.95,55.4856
0.027168,27.168,58.374
0.027385,27.385,47.4588
0.027602,27.602,45.4884
0.02782,27.82,51.6852
0.028037,28.037,49.0572
0.028254,28.254,44.3916
0.028472,28.472,51.51
0.028689,28.689,54.1416
0.028906,28.906,57.1356
0.029124,29.124,52.836
0.029341,29.341,49.0248
0.029558,29.558,49.2216
0.029776,29.776,50.7564
0.029993,29.993,49.7388
0.03021,30.21,44.0376
0.030428,30.428,53.2992
0.030645,30.645,43.2444
0.030862,30.862,46.254
0.03108,31.08,40.0944
0.031297,31.297,46.4304
0.031514,31.514,48.9624
0.031732,31.732,47.0256
0.031949,31.949,49.812
0.032166,32.166,48.2556
0.032384,32.384,54.678
0.032601,32.601,50.0724
0.032818,32.818,36.2472
0.033036,33.036,47.8212
0.033253,33.253,47.2944
0.03347,33.47,47.67
0.033688,33.688,59.8572
0.033905,33.905,50.9988
0.034122,34.122,54.0576
0.03434,34.34,48.8652
0.034557,34.557,42.2076
0.034774,34.774,48.3
0.034992,34.992,36.462
0.035209,35.209,45.4224
0.035427,35.427,52.6356
0.035644,35.644,44.7696
0.035861,35.861,52.7772
0.036079,36.079,54.3624
0.036296,36.296,48.3468
0.036513,36.513,42.4128
0.036731,36.731,49.962
0.036948,36.948,45.3
0.037165,37.165,42.1704
0.037383,37.383,40.5564
0.0376,37.6,44.6436
0.037817,37.817,38.1864
0.038035,38.035,36.864
0.038252,38.252,43.9992
0.038469,38.469,40.758
0.038687,38.687,42.0072
0.038904,38.904,44.9904
0.039121,39.121,40.1964
0.039339,39.339,52.4316
0.039556,39.556,54.4752
0.039773,39.773,46.8276
0.039991,39.991,43.596
0.040208,40.208,47.0772
0.040425,40.425,44.076
0.040643,40.643,41.9208
0.04086,40.86,43.9392
0.041077,41.077,52.9548
0.041295,41.295,51.3384
0.041512,41.512,37.3128
0.041729,41.729,41.766
0.041947,41.947,43.596
0.042164,42.164,45.0696
0.042381,42.381,48.8016
0.042599,42.599,40.0992
0.042816,42.816,45.0924
0.043033,43.033,37.7136
0.043251,43.251,37.524
0.043468,43.468,40.2108
0.043685,43.685,45.1524
0.043903,43.903,48.9576
0.04412,44.12,37.2468
0.044337,44.337,47.5128
0.044555,44.555,41.9844
0.044772,44.772,41.2716
0.04499,44.99,39.5268
0.045207,45.207,41.0064
0.045424,45.424,45.3192
0.045642,45.642,43.3368
0.045859,45.859,49.0056
0.046076,46.076,48.5988
0.046294,46.294,46.1616
0.046511,46.511,32.5632
0.046728,46.728,34.0032
0.046946,46.946,43.4484
0.047163,47.163,41.6832
0.04738,47.38,39.6264
0.047598,47.598,36.8088
0.047815,47.815,36.5256
0.048032,48.032,38.8044
0.04825,48.25,38.9004
0.048467,48.467,40.044
0.048684,48.684,42.252
0.048902,48.902,40.7184
0.049119,49.119,42.9612
0.049336,49.336,45.2904
0.049554,49.554,41.688
0.049771,49.771,40.6968
0.049988,49.988,38.7696
0.050206,50.206,33.6888
0.050423,50.423,38.652
0.05064,50.64,41.3256
0.050858,50.858,45.258
0.051075,51.075,44.1372
0.051292,51.292,38.9028
0.05151,51.51,39.8892
0.051727,51.727,43.5852
0.051944,51.944,39.3648
0.052162,52.162,37.6944
0.052379,52.379,43.6272
0.052596,52.596,39.624
0.052814,52.814,30.9456
0.053031,53.031,34.836
0.053248,53.248,40.5972
0.053466,53.466,42.7956
0.053683,53.683,47.5212
0.0539,53.9,46.1064
0.054118,54.118,40.5456
0.054335,54.335,37.2924
0.054552,54.552,33.5532
0.05477,54.77,35.3868
0.054987,54.987,38.5212
0.055205,55.205,42.0276
0.055422,55.422,40.9668
0.055639,55.639,37.5792
0.055857,55.857,33.7284
0.056074,56.074,38.2848
0.056291,56.291,33.0384
0.056509,56.509,27.0192
0.056726,56.726,28.0956
0.056943,56.943,31.4112
0.057161,57.161,37.8012
0.057378,57.378,33.6876
0.057595,57.595,33.6552
0.057813,57.813,33.4116
0.05803,58.03,34.1412
0.058247,58.247,27.3984
0.058465,58.465,25.62
0.058682,58.682,29.9652
0.058899,58.899,32.7684
0.059117,59.117,26.4324
0.059334,59.334,22.9512
0.059551,59.551,27.5868
0.059769,59.769,21.318
0.059986,59.986,24.3612
0.060203,60.203,29.6124
0.060421,60.421,28.0512
0.060638,60.638,29.8392
0.060855,60.855,28.1436
0.061073,61.073,27.7476
0.06129,61.29,29.0112
0.061507,61.507,23.9988
0.061725,61.725,25.0992
0.061942,61.942,27.2676
0.062159,62.159,30.0432
0.062377,62.377,32.5848
0.062594,62.594,28.6152
0.062811,62.811,25.9908
0.063029,63.029,27.1428
0.063246,63.246,25.938
0.063463,63.463,25.1616
0.063681,63.681,20.28
0.063898,63.898,20.346
0.064115,64.115,27.0648
0.064333,64.333,26.7168
0.06455,64.55,23.9544
0.064767,64.767,26.1096
0.064985,64.985,24.738
0.065202,65.202,21.522
0.06542,65.42,22.5144
0.065637,65.637,24.8664
0.065854,65.854,25.9752
0.066072,66.072,25.02
0.066289,66.289,23.43
0.066506,66.506,28.2396
0.066724,66.724,27.6072
0.066941,66.941,25.53
0.067158,67.158,33.1116
0.067376,67.376,23.0088
0.067593,67.593,24.0264
0.06781,67.81,29.0568
0.068028,68.028,30.8016
0.068245,68.245,28.0932
0.068462,68.462,23.0544
0.06868,68.68,26.7708
0.068897,68.897,21.0624
0.069114,69.114,26.2224
0.069332,69.332,27.3456
0.069549,69.549,26.094
0.069766,69.766,24.7212
0.069984,69.984,26.1972
0.070201,70.201,23.4012
0.070418,70.418,24.996
0.070636,70.636,29.5752
0.070853,70.853,25.3788
0.07107,71.07,26.2032
0.071288,71.288,26.6628
0.071505,71.505,23.9088
0.071722,71.722,27.5664
0.07194,71.94,21.1428
0.072157,72.157,21.4188
0.072374,72.374,25.638
0.072592,72.592,26.7624
0.072809,72.809,25.4748
0.073026,73.026,25.5276
0.073244,73.244,31.8792
0.073461,73.461,24.6672
0.073678,73.678,22.338
0.073896,73.896,22.524
0.074113,74.113,20.5848
0.07433,74.33,24.5244
0.074548,74.548,24.336
0.074765,74.765,27.918
0.074983,74.983,26.1756
0.0752,75.2,21.3336
0.075417,75.417,23.4228
0.075635,75.635,26.7876
0.075852,75.852,23.3628
0.076069,76.069,24.6192
0.076287,76.287,24.3108
0.076504,76.504,22.5228
0.076721,76.721,22.89
0.076939,76.939,22.6044
0.077156,77.156,25.1508
0.077373,77.373,26.3292
0.077591,77.591,22.6344
0.077808,77.808,17.6832
0.078025,78.025,19.9644
0.078243,78.243,20.5536
0.07846,78.46,21.48
0.078677,78.677,23.2656
0.078895,78.895,25.8912
0.079112,79.112,22.89
0.079329,79.329,19.956
0.079547,79.547,21.7368
0.079764,79.764,18.8868
0.079981,79.981,17.4108
0.080199,80.199,18.792
0.080416,80.416,17.682
0.080633,80.633,17.4204
0.080851,80.851,18.2124
0.081068,81.068,20.2668
0.081285,81.285,20.04
0.081503,81.503,20.5668
0.08172,81.72,19.3392
0.081937,81.937,17.8152
0.082155,82.155,18.6936
0.082372,82.372,19.476
0.082589,82.589,21.4188
0.082807,82.807,20.8968
0.083024,83.024,22.206
0.083241,83.241,19.5792
0.083459,83.459,16.1904
0.083676,83.676,18.5388
0.083893,83.893,19.1496
0.084111,84.111,17.1804
0.084328,84.328,18.3816
0.084545,84.545,18.6888
0.084763,84.763,14.3004
0.08498,84.98,15.5844
0.085198,85.198,14.634
0.085415,85.415,14.442
0.085632,85.632,17.2488
0.08585,85.85,14.8896
0.086067,86.067,15.6528
0.086284,86.284,16.908
0.086502,86.502,19.2648
0.086719,86.719,16.6692
0.086936,86.936,15.384
0.087154,87.154,16.6944
0.087371,87.371,20.2836
0.087588,87.588,19.4088
0.087806,87.806,19.7592
0.088023,88.023,19.764
0.08824,88.24,18.4308
0.088458,88.458,17.1432
0.088675,88.675,15.498
0.088892,88.892,15.0552
0.08911,89.11,13.872
0.089327,89.327,16.3416
0.089544,89.544,15.642
0.089762,89.762,16.7892
0.089979,89.979,16.2936
0.090196,90.196,14.058
0.090414,90.414,14.9196
0.090631,90.631,16.752
0.090848,90.848,15.3156
0.091066,91.066,13.5084
0.091283,91.283,14.4276
0.0915,91.5,18.2748
0.091718,91.718,19.5996
0.091935,91.935,19.464
0.092152,92.152,16.9356
0.09237,92.37,16.026
0.092587,92.587,16.0548
0.092804,92.804,15.1092
0.093022,93.022,15.8484
0.093239,93.239,12.3348
0.093456,93.456,13.6548
0.093674,93.674,12.102
0.093891,93.891,12.546
0.094108,94.108,13.0008
0.094326,94.326,11.6874
0.094543,94.543,11.1954
0.09476,94.76,11.3568
0.094978,94.978,12.5964
0.095195,95.195,11.42436
0.095413,95.413,13.8876
0.09563,95.63,12.0588
0.095847,95.847,10.66524
0.096065,96.065,12.1248
0.096282,96.282,12.426
0.096499,96.499,13.0128
0.096717,96.717,13.8348
0.096934,96.934,15.3324
0.097151,97.151,15.2892
0.097369,97.369,13.8576
0.097586,97.586,13.8876
0.097803,97.803,9.66192
0.098021,98.021,10.3716
0.098238,98.238,12.468
0.098455,98.455,10.4682
0.098673,98.673,12.0876
0.09889,98.89,12.354
0.099107,99.107,11.15124
0.099325,99.325,9.77664
0.099542,99.542,10.80336
0.099759,99.759,11.65764
0.099977,99.977,12.9996
0.10019,100.19,15.3828
0.10041,100.41,14.7576
0.10063,100.63,11.82216
0.10085,100.85,12.2568
0.10106,101.06,12.3888
0.10128,101.28,11.29572
0.1015,101.5,11.8506
0.10172,101.72,11.6244
0.10193,101.93,9.89388
0.10215,102.15,9.86316
0.10237,102.37,10.9542
0.10258,102.58,12.462
0.1028,102.8,13.2516
0.10302,103.02,11.097
0.10324,103.24,9.91764
0.10345,103.45,9.96804
0.10367,103.67,10.57068
0.10389,103.89,10.22064
0.10411,104.11,9.37368
0.10432,104.32,8.19072
0.10454,104.54,7.91784
0.10476,104.76,9.6756
0.10498,104.98,11.69988
0.10519,105.19,11.39316
0.10541,105.41,10.87068
0.10563,105.63,11.38656
0.10584,105.84,14.6328
0.10606,106.06,13.2168
0.10628,106.28,8.91096
0.1065,106.5,9.04764
0.10671,106.71,7.60884
0.10693,106.93,6.96444
0.10715,107.15,6.87
0.10737,107.37,7.14672
0.10758,107.58,8.37168
0.1078,107.8,7.1934
0.10802,108.02,7.33344
0.10824,108.24,6.56964
0.10845,108.45,7.10568
0.10867,108.67,7.20696
0.10889,108.89,6.57084
0.1091,109.1,5.19252
0.10932,109.32,5.28156
0.10954,109.54,7.49448
0.10976,109.76,5.81436
0.10997,109.97,6.51636
0.11019,110.19,9.79692
0.11041,110.41,10.335
0.11063,110.63,9.25428
0.11084,110.84,8.42184
0.11106,111.06,9.01272
0.11128,111.28,8.49576
0.1115,111.5,8.66868
0.11171,111.71,7.99872
0.11193,111.93,6.16824
0.11215,112.15,6.88488
0.11237,112.37,8.44644
0.11258,112.58,7.72176
0.1128,112.8,6.6498
0.11302,113.02,5.6376
0.11323,113.23,5.88384
0.11345,113.45,5.98404
0.11367,113.67,5.6898
0.11389,113.89,5.66952
0.1141,114.1,5.93844
0.11432,114.32,6.4998
0.11454,114.54,6.51036
0.11476,114.76,6.12672
0.11497,114.97,5.54028
0.11519,115.19,7.26168
0.11541,115.41,7.06212
0.11563,115.63,5.81556
0.11584,115.84,5.98812
0.11606,116.06,5.86272
0.11628,116.28,5.65656
0.11649,116.49,5.40408
0.11671,116.71,5.57772
0.11693,116.93,5.32392
0.11715,117.15,5.47884
0.11736,117.36,5.51472
0.11758,117.58,6.28512
0.1178,117.8,5.39784
0.11802,118.02,5.27568
0.11823,118.23,5.38692
0.11845,118.45,5.5932
0.11867,118.67,4.8198
0.11889,118.89,4.10808
0.1191,119.1,4.69728
0.11932,119.32,4.42116
0.11954,119.54,4.00248
0.11975,119.75,4.12212
0.11997,119.97,3.79524
0.12019,120.19,4.48296
0.12041,120.41,3.91584
0.12062,120.62,3.24108
0.12084,120.84,3.74664
0.12106,121.06,3.9762
0.12128,121.28,4.24656
0.12149,121.49,5.05248
0.12171,121.71,4.02552
0.12193,121.93,3.10536
0.12215,122.15,3.67356
0.12236,122.36,3.86232
0.12258,122.58,4.21632
0.1228,122.8,3.45732
0.12301,123.01,3.23508
0.12323,123.23,2.9154
0.12345,123.45,2.69916
0.12367,123.67,2.60808
0.12388,123.88,2.99208
0.1241,124.1,3.59868
0.12432,124.32,2.67588
0.12454,124.54,2.80092
0.12475,124.75,2.6586
0.12497,124.97,2.84616
0.12519,125.19,3.56484
0.12541,125.41,3.61656
0.12562,125.62,4.04316
0.12584,125.84,4.07064
0.12606,126.06,4.01052
0.12627,126.27,3.9066
0.12649,126.49,3.28632
0.12671,126.71,3.564
0.12693,126.93,3.47784
0.12714,127.14,3.34896
0.12736,127.36,3.49596
0.12758,127.58,4.48464
0.1278,127.8,4.67472
0.12801,128.01,4.43424
0.12823,128.23,3.90516
0.12845,128.45,3.9108
0.12867,128.67,4.34772
0.12888,128.88,4.15056
0.1291,129.1,3.99804
0.12932,129.32,4.11948
0.12953,129.53,3.68412
0.12975,129.75,3.67968
0.12997,129.97,3.18648
0.13019,130.19,3.00588
0.1304,130.4,3.19908
0.13062,130.62,2.8638
0.13084,130.84,2.94192
0.13106,131.06,2.70972
0.13127,131.27,2.44368
0.13149,131.49,2.62932
0.13171,131.71,3.09888
0.13193,131.93,2.6502
0.13214,132.14,2.4636
0.13236,132.36,2.38044
0.13258,132.58,2.10036
0.1328,132.8,2.17812
0.13301,133.01,2.19204
0.13323,133.23,2.34396
0.13345,133.45,2.523
0.13366,133.66,2.3592
0.13388,133.88,2.27976
0.1341,134.1,2.39604
0.13432,134.32,2.67384
0.13453,134.53,2.466
0.13475,134.75,2.42136
0.13497,134.97,2.21604
0.13519,135.19,2.50944
0.1354,135.4,2.39016
0.13562,135.62,2.18664
0.13584,135.84,2.3004
0.13606,136.06,1.96212
0.13627,136.27,2.00484
0.13649,136.49,1.64448
0.13671,136.71,1.80948
0.13692,136.92,2.16432
0.13714,137.14,2.2734
0.13736,137.36,2.16924
0.13758,137.58,1.84752
0.13779,137.79,2.17104
0.13801,138.01,1.97112
0.13823,138.23,1.80408
0.13845,138.45,2.013
0.13866,138.66,2.16084
0.13888,138.88,2.20584
0.1391,139.1,1.96032
0.13932,139.32,1.78068
0.13953,139.53,1.61052
0.13975,139.75,1.99632
0.13997,139.97,2.50752
0.14018,140.18,1.93632
0.1404,140.4,2.03196
0.14062,140.62,1.84248
0.14084,140.84,1.8972
0.14105,141.05,1.52148
0.14127,141.27,1.76676
0.14149,141.49,2.00472
0.14171,141.71,2.20584
0.14192,141.92,2.13372
0.14214,142.14,1.73664
0.14236,142.36,1.8024
0.14258,142.58,1.8126
0.14279,142.79,1.48836
0.14301,143.01,1.61256
0.14323,143.23,1.86804
0.14344,143.44,1.46208
0.14366,143.66,1.7148
0.14388,143.88,2.04264
0.1441,144.1,1.9146
0.14431,144.31,2.03508
0.14453,144.53,2.18928
0.14475,144.75,2.3436
0.14497,144.97,2.1192
0.14518,145.18,2.02932
0.1454,145.4,1.85064
0.14562,145.62,1.49484
0.14584,145.84,1.64328
0.14605,146.05,1.91448
0.14627,146.27,1.73472
0.14649,146.49,1.64472
0.1467,146.7,2.07588
0.14692,146.92,2.16276
0.14714,147.14,2.11644
0.14736,147.36,1.92612
0.14757,147.57,2.07888
0.14779,147.79,1.99776
0.14801,148.01,1.62396
0.14823,148.23,1.76064
0.14844,148.44,1.58724
0.14866,148.66,1.82736
0.14888,148.88,1.96704
0.1491,149.1,1.75104
0.14931,149.31,1.64808
0.14953,149.53,1.31088
0.14975,149.75,1.66896
0.14997,149.97,1.91616
0.15018,150.18,1.947
0.1504,150.4,1.94784
0.15062,150.62,1.64496
0.15083,150.83,1.70148
0.15105,151.05,1.48368
0.15127,151.27,1.46112
0.15149,151.49,1.5408
0.1517,151.7,1.85928
0.15192,151.92,2.04228
0.15214,152.14,1.69992
0.15236,152.36,1.77168
0.15257,152.57,1.641
0.15279,152.79,1.75872
0.15301,153.01,1.69992
0.15323,153.23,1.6788
0.15344,153.44,1.9584
0.15366,153.66,2.01972
0.15388,153.88,1.47192
0.15409,154.09,1.48008
0.15431,154.31,1.6272
0.15453,154.53,1.72644
0.15475,154.75,2.20512
0.15496,154.96,2.21472
0.15518,155.18,2.34204
0.1554,155.4,2.06112
0.15562,155.62,1.69464
0.15583,155.83,2.04084
0.15605,156.05,1.90788
0.15627,156.27,2.23896
0.15649,156.49,2.20584
0.1567,156.7,1.96128
0.15692,156.92,1.55268
0.15714,157.14,1.902
0.15735,157.35,2.01324
0.15757,157.57,2.30076
0.15779,157.79,2.28324
0.15801,158.01,2.11932
0.15822,158.22,2.40396
0.15844,158.44,2.53428
0.15866,158.66,2.22444
0.15888,158.88,1.90212
0.15909,159.09,1.68348
0.15931,159.31,2.21868
0.15953,159.53,2.5038
0.15975,159.75,2.20632
0.15996,159.96,2.09604
0.16018,160.18,2.09772
0.1604,160.4,1.79172
0.16061,160.61,1.44372
0.16083,160.83,1.59456
0.16105,161.05,2.12172
0.16127,161.27,2.06136
0.16148,161.48,1.69404
0.1617,161.7,1.85328
0.16192,161.92,1.8108
0.16214,162.14,1.76124
0.16235,162.35,1.7106
0.16257,162.57,2.15628
0.16279,162.79,2.36952
0.16301,163.01,2.127
0.16322,163.22,2.33004
0.16344,163.44,2.86356
0.16366,163.66,2.29092
0.16387,163.87,1.98984
0.16409,164.09,2.54688
0.16431,164.31,3.08304
0.16453,164.53,2.8254
0.16474,164.74,2.24316
0.16496,164.96,2.16576
0.16518,165.18,2.6424
0.1654,165.4,2.31264
0.16561,165.61,2.12832
0.16583,165.83,2.57952
0.16605,166.05,3.25032
0.16627,166.27,2.991
0.16648,166.48,2.24796
0.1667,166.7,2.43264
0.16692,166.92,3.02748
0.16713,167.13,2.75184
0.16735,167.35,2.41944
0.16757,167.57,2.71212
0.16779,167.79,3.26124
0.168,168,3.07932
0.16822,168.22,2.3232
0.16844,168.44,2.31732
0.16866,168.66,2.62848
0.16887,168.87,2.40156
0.16909,169.09,2.40828
0.16931,169.31,2.70576
0.16953,169.53,2.7372
0.16974,169.74,2.1318
0.16996,169.96,2.09268
0.17018,170.18,2.39796
0.1704,170.4,2.78028
0.17061,170.61,2.613
0.17083,170.83,2.60196
0.17105,171.05,2.68152
0.17126,171.26,3.1788
0.17148,171.48,3.27756
0.1717,171.7,3.0228
0.17192,171.92,3.1146
0.17213,172.13,3.2448
0.17235,172.35,3.31464
0.17257,172.57,4.00164
0.17279,172.79,3.22968
0.173,173,3.11916
0.17322,173.22,3.22044
0.17344,173.44,3.42576
0.17366,173.66,3.77868
0.17387,173.87,4.2384
0.17409,174.09,3.85212
0.17431,174.31,2.94228
0.17452,174.52,2.74668
0.17474,174.74,2.91096
0.17496,174.96,3.7068
0.17518,175.18,3.97992
0.17539,175.39,4.368
0.17561,175.61,4.20144
0.17583,175.83,3.21408
0.17605,176.05,3.40692
0.17626,176.26,3.81216
0.17648,176.48,3.8628
0.1767,176.7,4.18992
0.17692,176.92,4.95732
0.17713,177.13,4.47216
0.17735,177.35,3.28956
0.17757,177.57,3.23352
0.17778,177.78,3.26832
0.178,178,3.85716
0.17822,178.22,4.06176
0.17844,178.44,4.62444
0.17865,178.65,5.15256
0.17887,178.87,4.28268
0.17909,179.09,3.67716
0.17931,179.31,4.0074
0.17952,179.52,4.6284
0.17974,179.74,4.89804
0.17996,179.96,4.56816
0.18018,180.18,4.62816
0.18039,180.39,4.4592
0.18061,180.61,4.1898
0.18083,180.83,4.4676
0.18104,181.04,4.80504
0.18126,181.26,5.15724
0.18148,181.48,5.39172
0.1817,181.7,5.31108
0.18191,181.91,4.60968
0.18213,182.13,4.1604
0.18235,182.35,4.52736
0.18257,182.57,5.01708
0.18278,182.78,5.63832
0.183,183,5.2116
0.18322,183.22,5.20104
0.18344,183.44,5.68608
0.18365,183.65,4.63296
0.18387,183.87,4.9386
0.18409,184.09,6.54348
0.1843,184.3,6.68148
0.18452,184.52,5.95968
0.18474,184.74,5.51508
0.18496,184.96,6.90744
0.18517,185.17,5.31372
0.18539,185.39,5.2686
0.18561,185.61,6.11544
0.18583,185.83,6.72708
0.18604,186.04,7.21428
0.18626,186.26,7.88856
0.18648,186.48,8.1678
0.1867,186.7,6.95532
0.18691,186.91,5.5176
0.18713,187.13,5.92836
0.18735,187.35,6.08904
0.18756,187.56,7.20672
0.18778,187.78,7.88352
0.188,188,7.18512
0.18822,188.22,5.65188
0.18843,188.43,5.59356
0.18865,188.65,7.42116
0.18887,188.87,7.89216
0.18909,189.09,9.63672
0.1893,189.3,11.74932
0.18952,189.52,11.24808
0.18974,189.74,8.9022
0.18996,189.96,9.44388
0.19017,190.17,9.16932
0.19039,190.39,8.36004
0.19061,190.61,8.59848
0.19083,190.83,10.04364
0.19104,191.04,11.47452
0.19126,191.26,12.3312
0.19148,191.48,12.216
0.19169,191.69,10.90656
0.19191,191.91,11.0166
0.19213,192.13,11.64372
0.19235,192.35,12.1116
0.19256,192.56,13.614
0.19278,192.78,14.5104
0.193,193,14.712
0.19322,193.22,17.4552
0.19343,193.43,17.6868
0.19365,193.65,16.0404
0.19387,193.87,15.7248
0.19409,194.09,15.6396
0.1943,194.3,16.8828
0.19452,194.52,19.2924
0.19474,194.74,18.4344
0.19495,194.95,18.6372
0.19517,195.17,21.3024
0.19539,195.39,23.2608
0.19561,195.61,22.2372
0.19582,195.82,18.1356
0.19604,196.04,20.31
0.19626,196.26,25.8612
0.19648,196.48,29.9964
0.19669,196.69,30.9192
0.19691,196.91,33.4116
0.19713,197.13,36.2496
0.19735,197.35,32.88
0.19756,197.56,35.454
0.19778,197.78,38.2368
0.198,198,34.1664
0.19821,198.21,38.562
0.19843,198.43,46.392
0.19865,198.65,52.7064
0.19887,198.87,54.912
0.19908,199.08,51.8976
0.1993,199.3,50.8716
0.19952,199.52,50.19
0.19974,199.74,50.3856
0.19995,199.95,50.1984
0.20017,200.17,43.4808
0.20039,200.39,42.3564
0.20061,200.61,44.8824
0.20082,200.82,44.1396
0.20104,201.04,41.742
0.20126,201.26,35.0652
0.20147,201.47,34.1772
0.20169,201.69,37.716
0.20191,201.91,35.4444
0.20213,202.13,35.25
0.20234,202.34,35.238
0.20256,202.56,34.4796
0.20278,202.78,33.0204
0.203,203,31.2372
0.20321,203.21,24.0624
0.20343,203.43,24.6216
0.20365,203.65,21.9048
0.20387,203.87,17.7228
0.20408,204.08,16.4724
0.2043,204.3,14.016
0.20452,204.52,13.5732
0.20473,204.73,14.1876
0.20495,204.95,13.7064
0.20517,205.17,14.1276
0.20539,205.39,14.2056
0.2056,205.6,11.36664
0.20582,205.82,9.909
0.20604,206.04,10.5426
0.20626,206.26,10.91472
0.20647,206.47,9.30648
0.20669,206.69,9.48708
0.20691,206.91,9.08616
0.20713,207.13,8.55684
0.20734,207.34,7.38696
0.20756,207.56,9.804
0.20778,207.78,10.37148
0.20799,207.99,8.77956
0.20821,208.21,7.90848
0.20843,208.43,6.17064
0.20865,208.65,6.00756
0.20886,208.86,5.84388
0.20908,209.08,6.53124
0.2093,209.3,6.80076
0.20952,209.52,6.16476
0.20973,209.73,5.77164
0.20995,209.95,5.70732
0.21017,210.17,5.60364
0.21039,210.39,5.0178
0.2106,210.6,5.09076
0.21082,210.82,4.08564
0.21104,211.04,3.53004
0.21126,211.26,4.56672
0.21147,211.47,5.34204
0.21169,211.69,4.9584
0.21191,211.91,4.48572
0.21212,212.12,3.92436
0.21234,212.34,4.35828
0.21256,212.56,4.11156
0.21278,212.78,4.00188
0.21299,212.99,4.2018
0.21321,213.21,4.17552
0.21343,213.43,4.31604
0.21365,213.65,4.41804
0.21386,213.86,3.91176
0.21408,214.08,3.33384
0.2143,214.3,3.81276
0.21452,214.52,3.78648
0.21473,214.73,3.44628
0.21495,214.95,3.3636
0.21517,215.17,3.99096
0.21538,215.38,3.44556
0.2156,215.6,3.57036
0.21582,215.82,3.6342
0.21604,216.04,3.77208
0.21625,216.25,4.23
0.21647,216.47,3.59868
0.21669,216.69,3.13296
0.21691,216.91,3.41856
0.21712,217.12,3.46872
